Scenario,Endpoint,Run #,Execution Time (ms),Response Size (bytes),Success
"Complex (365 days, limit 50)",/api/analytics/content-stats,3,5.476200000000972,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats-optimized,3,5.540400000001682,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats,4,10.210199999997712,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats-optimized,4,6.001799999998184,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats,5,5.9395000000004075,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats-optimized,5,4.008399999998801,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats,6,9.536599999999453,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats-optimized,6,8.200300000000425,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats,7,4.666699999997945,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats-optimized,7,3.9695000000028813,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats,8,5.421200000000681,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats-optimized,8,4.371200000001409,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats,9,4.9932000000007974,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats-optimized,9,6.31619999999748,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats,10,5.09519999999975,0,false
"Complex (365 days, limit 50)",/api/analytics/content-stats-optimized,10,4.635400000002846,0,false
